id_proyecto,nombre_proyecto,direccion,id_programa,id_proyecto_estado,id_proyecto_subestado,coordenada_x,coordenada_y;;;;;;;;;;;;
;;;;;;;;;;;;
id_proyecto;dependencia;id_dependencia;nombre_proyecto;id_programa;nombre_programa;id_proyecto_estado;proyecto_estado;id_proyecto_subestado;proyecto_subestado;direccion;x;y
1;Obras Públicas;6;BAO_VII_2429_M1;3;Barrios a la obra ;4;Postcontractual;9;Terminado;-;-74,78333333;10,94211111
2;Obras Públicas;6;BAO_VII_2429_M2;3;Barrios a la obra ;4;Postcontractual;9;Terminado;-;-74,83602778;10,97838889
3;Obras Públicas;6;BAO_VII_2429_M3;3;Barrios a la obra ;4;Postcontractual;9;Terminado;-;-74,82780556;10,944
4;Obras Públicas;6;BAO_VII_2429_M4;3;Barrios a la obra ;4;Postcontractual;9;Terminado;-;-74,79686111;10,96494444
5;Obras Públicas;6;BAO_VII_2429_M5;3;Barrios a la obra ;4;Postcontractual;9;Terminado;-;-74,79258333;10,99408333
6;Obras Públicas;6;BAO_VII_2429_M6;3;Barrios a la obra ;4;Postcontractual;9;Terminado;-;-74,79063889;10,98408333
7;Obras Públicas;6;BAO_VII_2429_M7;3;Barrios a la obra ;4;Postcontractual;9;Terminado;-;-74,83141204;10,98153825
8;Obras Públicas;6;BAO_VII_2429_M8;3;Barrios a la obra ;4;Postcontractual;9;Terminado;-;-74,80514167;10,93059722
9;Obras Públicas;6;BAO_VII_2429_M9;3;Barrios a la obra ;4;Postcontractual;9;Terminado;-;-74,80376389;10,92248611
10;Obras Públicas;6;BAO_VII_2429_M10;3;Barrios a la obra ;4;Postcontractual;9;Terminado;-;-74,78708889;10,94159444
11;Obras Públicas;6;BAO_VII_2429_M11;3;Barrios a la obra ;4;Postcontractual;9;Terminado;-;-74,79334722;10,93343611
12;Obras Públicas;6;BAO_VII_2429_M12;3;Barrios a la obra ;4;Postcontractual;12;Liquidado;-;-74,81055;10,92756944
13;Obras Públicas;6;BAO_VIII_0002_M1;3;Barrios a la obra ;3;Contractual;7;En_Ejecución;-;-74,81744444;11,02318611
14;Obras Públicas;6;BAO_VIII_0002_M2;3;Barrios a la obra ;3;Contractual;7;En_Ejecución;-;-74,82229167;11,02207778
15;Obras Públicas;6;BAO_VIII_0002_M3;3;Barrios a la obra ;3;Contractual;7;En_Ejecución;-;-74,85892222;10,95884167
16;Obras Públicas;6;BAO_VIII_0002_M4;3;Barrios a la obra ;3;Contractual;7;En_Ejecución;-;-74,77976542;10,96410245
17;Obras Públicas;6;BAO_VIII_0002_M5;3;Barrios a la obra ;3;Contractual;7;En_Ejecución;-;-74,79299722;10,94305278
18;Obras Públicas;6;BAO_VIII_0002_M6;3;Barrios a la obra ;3;Contractual;7;En_Ejecución;-;-74,82960833;10,96256389
19;Obras Públicas;6;BAO_VIII_0002_M7;3;Barrios a la obra ;3;Contractual;7;En_Ejecución;-;-74,86514167;10,95898611
20;Obras Públicas;6;BAO_VIII_0002_M8;3;Barrios a la obra ;3;Contractual;7;En_Ejecución;-;-74,78822778;10,95260556
21;Obras Públicas;6;BAO_VIII_0002_M9;3;Barrios a la obra ;3;Contractual;7;En_Ejecución;-;-74811994;10943792
22;Obras Públicas;6;BAO_IX_VN_M1;3;Barrios a la obra ;3;Contractual;7;En_Ejecución;-;-74,86169167;10,93968333
23;Obras Públicas;6;BAO_IX_VN_M2;3;Barrios a la obra ;3;Contractual;7;En_Ejecución;-;-74,83341389;10,94809167
24;Obras Públicas;6;BAO_IX_VN_M3;3;Barrios a la obra ;3;Contractual;7;En_Ejecución;-;-74,82017778;10,925025
25;Obras Públicas;6;BAO_IX_VN_M4;3;Barrios a la obra ;3;Contractual;7;En_Ejecución;-;-74,81907222;10,94678889
26;Obras Públicas;6;BAO_IX_VN_M5;3;Barrios a la obra ;3;Contractual;7;En_Ejecución;-;-74,81285833;10,92600833
27;Obras Públicas;6;Concha Acústica CONIDEC;6;Conchas Acústicas;4;Postcontractual;9;Terminado;C 49 K 5B Sur;-74,81826944;10,96459167
28;Obras Públicas;6;Gran Malecón de Sur Oriente - Losa Canal;17;Malecón de Sur Oriente;3;Contractual;7;En_Ejecución;Arroyo rebolo de la 30 a la 8;-74,83860545;10,97846253
29;Obras Públicas;6;Gran Malecón de Sur Oriente - Losa Canal 2;17;Malecón de Sur Oriente;3;Contractual;7;En_Ejecución;;-74,85695556;10,95913056
30;Obras Públicas;6;MP - Mercado EPM;23;Plazas de Mercado;4;Postcontractual;9;Terminado;Cl 30 44  100;-74,89185278;10,95803056
31;Obras Públicas;6;MP - Mercado de Granos;23;Plazas de Mercado;3;Contractual;7;En_Ejecución;Cra 40 28 04;-74,78409444;10,95936667
32;Obras Públicas;6;CAI Santa Maria;4;CAI;4;Postcontractual;11;Entregado;Cra. 1 sur No. 91 esquina ;-74,78312107;10,95329253
33;Obras Públicas;6;CAI La Paz;4;CAI;4;Postcontractual;11;Entregado;Cra. 13 No. 106 esquina ;-74,83068056;10,98264722
34;Obras Públicas;6;CAI Santo Domingo;4;CAI;4;Postcontractual;11;Entregado;Cra. 2 No. 62 esquina;-74,81597778;10,93636944
35;Obras Públicas;6;Intercambiador_Alameda_CRA43;18;Malla Vial;3;Contractual;7;En_Ejecución;;-74,82688333;10,982375
36;Gerencia de Ciudad ;3;Seguridad_2025_Estación El Bosque;12;Estaciones;;;;;Cordialidad #calle 60B -110;-74,79522222;10,93044722
37;Gerencia de Ciudad ;3;Seguridad_2025_Estación Caribe Verde;12;Estaciones;;;;;Avenida Caribe Verde 120 #11 d 02;-74,81261389;10,94841667
38;Gerencia de Ciudad ;3;Seguridad_2025_Estación Riomar;12;Estaciones;;;;;Calle 94 Cra 56 esquina;-74,78675556;10,94898889
39;Gerencia de Ciudad ;3;Seguridad_2025_Estación Rebolo;12;Estaciones;;;;;Cra 26 # 24-71;-74,77395278;10,95761667
40;Gerencia de Ciudad ;3;Seguridad_2025_CAI La Victoria;4;CAI;;;;;Av. Murillo cra 10e;-74,82088889;10,9284
41;Gerencia de Ciudad ;3;Seguridad_2025_CAI La Alboraya;4;CAI;;;;;Calle 41b # 8-52;;
42;Gerencia de Ciudad ;3;Seguridad_2025_CAI El Limon;4;CAI;;;;;Calle 33c # 05-5D;-74,81943056;10,92460556
43;Gerencia de Ciudad ;3;Seguridad_2025_Escuela calle 17;19;Mantenimeinto y adecuacion;;;;;Calle 17 # 7d;;
44;Gerencia de Ciudad ;3;Seguridad_2025_Red de apoyo (CAD);19;Mantenimeinto y adecuacion;;;;;;45372;
45;Gerencia de Ciudad ;3;Seguridad_2025_Centro Local de Analisis Criminar (CELAC);19;Mantenimeinto y adecuacion;;;;;;;
46;Gerencia de Ciudad ;3;Seguridad_2025_Interpol;19;Mantenimeinto y adecuacion;;;;;;-74,79178056;10,95044167
47;Gerencia de Ciudad ;3;Seguridad_2025_Celdas en la Estacion Norte;19;Mantenimeinto y adecuacion;;;;;;-74,77758202;10,94247181
48;Gerencia de Ciudad ;3;Museo de Arte Moderno de Barranquilla (MAMBAQ);9;Edificaciones culturales ;3;Contractual;7;En_Ejecución;Cl 36 46 66;-74,7911363;10,93773048
