id_barrio,nombre_barrio
1,ABAJO
2,ALAMEDA DEL RIO
3,ALFONSO LÓPEZ
4,ALTAMIRA
5,ALTOS DE RIOMAR
6,ALTOS DEL LIMÓN
7,ALTOS DEL PRADO
8,AMÉRICA
9,ANDALUCIA
10,ATLÁNTICO
11,BARLOVENTO
12,BELLA ARENA
13,BELLAVISTA
14,BERNARDO HOYOS
15,BETHANIA
16,BOSQUE URBANO
17,BOSTON
18,BOYACÁ
19,BUENA ESPERANZA
20,BUENAVISTA
21,BUENOS AIRES
22,CALIFORNIA
23,CAMPO ALEGRE
24,CARIBE VERDE
25,CARLOS MEISEL
26,CARRIZAL
27,CENTRO
28,CEVILLAR
29,CHIQUINQUIRÁ
30,CIUDAD CARIBE
31,CIUDAD JARDIN
32,CIUDAD MODESTO
33,CIUDADELA 20 DE JULIO
34,CIUDADELA DE LA SALUD
35,CIUDADELA DE PAZ
36,COLINA CAMPESTRE
37,COLOMBIA
38,CORDIALIDAD
39,CORREDOR CARRERA 38
40,CORREDOR CORDIALIDAD
41,CORREDOR VIA AL MAR
42,CORREGIMIENTO JUAN MINA
43,CORREGIMIENTO LA PLAYA
44,CUCHILLA DE VILLATE
45,EL BOSQUE
46,EL CAMPITO
47,EL CARMEN
48,EL CASTILLO
49,EL EDEN 2000
50,EL EDEN I
51,EL GOLF
52,EL GOLFO
53,EL LIMÓN
54,EL LIMONCITO
55,EL MILAGRO
56,EL POBLADO
57,EL PORVENIR
58,EL PRADO
59,EL PUEBLO
60,EL RECREO
61,EL ROMANCE
62,EL ROSARIO
63,EL RUBI
64,EL SANTUARIO
65,EL SILENCIO
66,EL TABOR
67,EL VALLE
68,EVARISTO SOURDIS
69,GRANADILLO
70,INDUSTRIAL NORTE
71,INDUSTRIAL VIA 40
72,JOSÉ ANTONIO GALÁN
73,KALAMARY
74,KENNEDY
75,LA ALBORAYA
76,LA CAMPIÑA
77,LA CEIBA
78,LA CHINITA
79,LA CONCEPCIÓN
80,LA CUMBRE
81,LA ESMERALDA
82,LA FLORESTA
83,LA FLORIDA
84,LA GLORIA
85,LA LIBERTAD
86,LA LOMA
87,LA LOMA II
88,LA LUZ
89,LA MAGDALENA
90,LA MANGA
91,LA PAZ
92,LA PRADERA
93,LA SIERRA
94,LA SIERRITA
95,LA UNIÓN
96,LA VICTORIA
97,LAS AMÉRICAS
98,LAS CAYENAS
99,LAS COLINAS
100,LAS DELICIAS
101,LAS DUNAS
102,LAS ESTRELLAS
103,LAS FLORES
104,LAS GARDENIAS
105,LAS GRANJAS
106,LAS MALVINAS
107,LAS MERCEDES
108,LAS NIEVES
109,LAS PALMAS
110,LAS PALMERAS
111,LAS TERRAZAS
112,LAS TRES AVE MARIAS
113,LIPAYA
114,LOMA FRESCA
115,LOS ALPES
116,LOS ANDES
117,LOS ANGELES I
118,LOS ANGELES II
119,LOS ANGELES III
120,LOS CONTINENTES
121,LOS GIRASOLES
122,LOS JOBOS
123,LOS LAURELES
124,LOS NOGALES
125,LOS OLIVOS I
126,LOS OLIVOS II
127,LOS PINOS
128,LOS ROSALES
129,LOS TRUPILLOS
130,LUCERO
131,ME QUEJO
132,MERCEDES SUR
133,MIRAMAR
134,MODELO
135,MONTECRISTO
136,MONTES
137,NUEVA COLOMBIA
138,NUEVA GRANADA
139,NUEVO HORIZONTE
140,OLAYA
141,PALMAS DEL RIO
142,PARAÍSO
143,PASADENA
144,PASEO DE LA CASTELLANA
145,PINAR DEL RIO
146,PLAN ZONAL RIOMAR
147,PLANES PARCIALES METROPOLITANA
148,PLANES PARCIALES NORTE
149,PLANES PARCIALES SUROCCIDENTE
150,POR FIN
151,PRIMERO DE MAYO
152,PUERTA DORADA
153,PUERTO MOCHO
154,PUMAREJO
155,REBOLO
156,RIOMAR
157,SAN FELIPE
158,SAN FRANCISCO
159,SAN ISIDRO
160,SAN JOSÉ
161,SAN LUIS
162,SAN MARINO
163,SAN NICOLAS
164,SAN PEDRO
165,SAN PEDRO ALEJANDRINO
166,SAN ROQUE
167,SAN SALVADOR
168,SAN VICENTE
169,SANTA ANA
170,SANTA HELENA
171,SANTA MARIA
172,SANTA MÓNICA
173,SANTO DOMINGO
174,SANTO DOMINGO DE GUZMAN
175,SEVILLA DEL CARIBE
176,SEVILLA REAL
177,SIAPE
178,SIETE DE ABRIL
179,SIETE DE AGOSTO
180,SIMÓN BOLÍVAR
181,SINAI
182,SOLAIRE NORTE
183,TAJAMAR
184,TAYRONA
185,UNIVERSAL
186,VEINTE DE JULIO
187,VILLA BLANCA
188,VILLA CAROLINA
189,VILLA COUNTRY
190,VILLA DEL CARMEN
191,VILLA DEL ESTE
192,VILLA DEL ROSARIO
193,VILLA FLOR
194,VILLA SAN CARLOS
195,VILLA SAN CARLOS II
196,VILLA SAN PEDRO II
197,VILLA SANTOS
198,VILLA SEVILLA
199,VILLA VALERY
200,VILLANUEVA
201,VILLAS DE LA CORDIALIDAD
202,VILLAS DE SAN PABLO
203,VILLATE
204,ZONA FRANCA
