id_programa,nombre_programa,id_sector,id_dependencia,created_at,updated_at
1,Agua potable y saneamiento basico,1,1,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
2,Arroyos,2,1,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
3,Barrios a la obra,4,6,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
4,CAI,10,6,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
5,Colegios,6,3,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
6,Conchas acusticas,3,3,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
7,Consultoria,4,3,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
8,EcoParque Mallorquin,5,5,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
9,Edificaciones culturales,3,3,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
10,Eficiencia Energetica,7,7,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
11,Escenarios deportivos,8,3,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
12,Estaciones,11,6,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
13,Generacion,7,7,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
14,Hospital,9,4,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
15,Huertas,5,8,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
16,Malecon,5,3,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
17,Malecon de suroiente,5,3,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
18,Malla vial,11,6,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
19,Mantenimiento y adecuacion,11,6,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
20,Mejoramiento de viviendas,12,6,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
21,Parques,8,3,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
22,Recuperacion Playas de Puerto Mocho,5,3,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
23,Plazas de mercado,4,3,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
24,Pasos,11,6,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
25,SITP,11,6,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
26,Tren turistico,5,3,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
27,Transformacion de entornos urbanos,4,3,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
28,Universidad,6,3,2025-10-13T15:00:00Z,2025-10-13T15:00:00Z
