;id_proyecto;nombre_proyecto;direccion;id_programa;id_proyecto_estado;id_proyecto_subestado;coordenada_x;coordenada_y;valor_inicial_obra;valor_total_adicionado_obra;valor_total_facturado_obra;valor_total_pagado_obra;valor_inicial_interventoria;valor_total_adicionado_interventoria;valor_total_facturado_interventoria;valor_total_pagado_interventoria;fecha_entrega;ampliacion_contractual;;
;1;BAO_VII_2429_M1;null;3;4;9;-74,78133333;10,96852778;$ 10.087.941.782,00;$ 6.614.286.460,00;$ 15.865.781.158,00;$ 15.865.781.158,00;$ 2.589.999.997,00;$ 1.425.826.605,00;$ 3.491.711.396,26;$ 3.111.543.570,95;31/07/2024;false;;
;2;BAO_VII_2429_M2;null;3;4;9;null;null;$ 7.596.189.806,00;$ 9.510.691.495,31;$ 17.105.644.167,00;$ 17.105.644.167,00;$ 2.353.659.350,00;$ 1.932.040.306,69;$ 3.242.593.169,00;$ 3.242.593.169,00;28/02/2023;false;;
;3;BAO_VII_2429_M3;null;3;4;9;null;null;$ 7.615.449.800,00;$ 5.301.748.132,00;$ 8.766.179.366,67;$ 8.766.179.366,67;null;null;null;null;30/11/2024;false;;
;4;BAO_VII_2429_M4;null;3;4;9;null;null;$ 7.591.113.018,00;$ 5.431.020.644,00;$ 12.360.972.374,42;$ 12.360.972.374,42;null;null;null;null;31/07/2024;false;;
;5;BAO_VII_2429_M5;null;3;4;9;null;null;$ 9.610.407.989,00;$ 5.860.489.797,00;$ 14.553.426.871,00;$ 14.553.426.871,00;null;null;null;null;30/09/2024;false;;
;6;BAO_VII_2429_M6;null;3;4;9;null;null;$ 8.708.323.997,00;$ 5.809.982.432,00;$ 12.927.145.372,93;$ 12.927.145.372,93;null;null;null;null;30/09/2024;false;;
;7;BAO_VII_2429_M7;null;3;4;9;null;null;$ 10.200.564.715,00;$ 5.969.587.668,00;$ 15.284.701.905,00;$ 15.284.701.905,00;null;null;null;null;16/05/2024;false;;
;8;BAO_VII_2429_M8;null;3;4;9;null;null;$ 7.638.300.700,00;$ 5.464.780.815,00;$ 12.447.568.529,00;$ 12.447.568.529,00;null;null;null;null;31/07/2024;false;;
;9;BAO_VII_2429_M9;null;3;4;9;null;null;$ 7.593.881.776,00;$ 4.780.494.120,00;$ 10.705.414.795,00;$ 10.705.414.795,00;null;null;null;null;31/10/2024;false;;
;10;BAO_VII_2429_M10;null;3;4;9;null;null;$ 7.713.151.737,00;$ 5.322.736.268,00;$ 10.364.113.130,43;$ 10.364.113.130,43;null;null;null;null;31/10/2024;false;;
;11;BAO_VII_2429_M11;null;3;4;9;null;null;$ 7.727.867.246,00;$ 5.528.860.714,00;$ 11.221.659.834,00;$ 11.221.659.834,00;null;null;null;null;31/10/2024;false;;
;12;BAO_VII_2429_M12;null;3;4;12;null;null;$ 7.765.796.823,00;null;$ 7.526.252.083,00;$ 6.925.540.108,00;null;null;null;null;30/07/2022;false;;
;13;BAO_VIII_0002_M1;null;3;3;7;0;0;$ 558.065.116,16;null;null;null;null;null;null;null;30/09/2025;false;;
;14;BAO_VIII_0002_M2;null;3;3;7;0;0;$ 351.437.172,90;null;null;null;null;null;null;null;30/09/2025;false;;
;15;BAO_VIII_0002_M3;null;3;3;7;0;0;$ 425.486.201,80;null;null;null;null;null;null;null;30/09/2025;false;;
;16;BAO_VIII_0002_M4;null;3;3;7;0;0;$ 6.806.556.121,00;null;null;null;null;null;null;null;30/09/2025;false;;
;17;BAO_VIII_0002_M5;null;3;3;7;0;0;$ 215.591.272,00;null;null;null;null;null;null;null;30/09/2025;false;;
;18;BAO_VIII_0002_M6;null;3;3;7;0;0;$ 9.018.274.387,00;null;null;null;null;null;null;null;30/09/2025;false;;
;19;BAO_VIII_0002_M7;null;3;3;7;0;0;$ 9.186.635.876,00;null;null;null;null;null;null;null;30/09/2025;false;;
;20;BAO_VIII_0002_M8;null;3;3;7;0;0;$ 12.557.965.286,00;null;null;null;null;null;null;null;30/09/2025;false;;
;21;BAO_VIII_0002_M9;null;3;3;7;0;0;$ 12.058.626.643,00;null;null;null;null;null;null;null;30/09/2025;false;;
;22;BAO_IX_VN_M1;null;3;3;7;0;0;$ 52.085.450.531,00;null;$ 10.057.307.073,00;null;null;null;null;null;9/11/2026;false;;
;23;BAO_IX_VN_M2;null;3;3;7;0;0;$ 52.033.303.778,00;null;null;null;null;null;null;null;9/11/2026;false;;
;24;BAO_IX_VN_M3;null;3;3;7;0;0;$ 52.104.102.820,00;null;$ 5.977.371.358,00;null;null;null;null;null;9/11/2026;false;;
;25;BAO_IX_VN_M4;null;3;3;7;0;0;$ 53.500.043.499,00;null;$ 5.000.036.700,00;null;null;null;null;null;9/11/2026;false;;
;26;BAO_IX_VN_M5;null;3;3;7;0;0;$ 52.033.303.778,00;null;null;null;null;null;null;null;9/11/2026;false;;
;27;Concha Acústica CONIDEC;C 49 K 5B Sur;6;4;9;-74,810228;10,927544;$ 993.605.126,00;$ 576.290.973,00;$ 984.692.194,00;$ 984.692.194,00;null;null;null;null;20/03/2024;false;;
;28;Gran Malecón de Sur Oriente - Losa Canal;Arroyo rebolo de la 30 a la 8;17;3;7;-74,78445278;10,95941667;$ 92.664.003.411,05;null;$ 23.298.960.880,00;$ 23.298.960.880,00;$ 4.633.209.020,65;null;$ 796.003.949,10;$ 796.003.949,10;31/12/2024;false;;
;29;Gran Malecón de Sur Oriente - Losa Canal 2;null;17;3;7;null;null;null;null;null;null;null;null;null;null;null;false;;
;30;MP - Mercado EPM;Cl 30 44  100;23;4;9;-74,77646389;10,98334722;$ 9.939.090.474,80;null;$ 22.935.763.721,05;$ 21.498.737.887,33;$ 465.660.685,00;$ 112.400.855,00;$ 1.063.876.604,36;$ 956.505.872,96;31/07/2024;false;;
;31;MP - Mercado de Granos;Cra 40 28 04;23;3;7;-74,77524444;10,97779722;$ 9.591.989.928,21;$ 6.694.119.966,00;$ 23.904.346.470,95;$ 23.323.511.415,34;$ 465.660.685,00;$ 112.400.855,00;$ 1.063.876.604,36;$ 956.505.872,96;1/11/2024;false;;
;32;CAI Santa Maria;Cra. 1 sur No. 91 esquina ;4;4;11;-74,82550833;10,93428889;$ 382.600.000,00;$ 181.084.254,59;$ 253.022.368,42;$ 253.022.368,42;$ 45.589.069,95;$ 44.316.262,75;$ 30.327.678,42;$ 30.327.678,42;18/06/2024;false;;
;33;CAI La Paz;Cra. 13 No. 106 esquina ;4;4;11;-74,83459444;10,96606111;$ 409.200.000,00;$ 250.875.243,21;$ 270.613.573,33;$ 270.613.573,33;$ 48.758.618,46;$ 47.397.320,22;$ 32.436.189,26;$ 32.436.189,26;18/06/2024;false;;
;34;CAI Santo Domingo;Cra. 2 No. 62 esquina;4;4;11;-74,81603889;10,93611667;$ 460.325.367,00;$ 191.824.688,70;$ 304.423.979,61;$ 304.423.979,61;$ 54.850.510,60;$ 53.319.132,03;$ 36.488.760,32;$ 36.488.760,32;18/06/2024;false;;
;35;Intercambiador_Alameda_CRA43;null;18;3;7;-74,833777;11,027738;$ 59.906.133.530,00;null;null;null;null;null;null;null;31/12/2024;false;;
;36;Seguridad_2025_Estación El Bosque;Cordialidad #calle 60B -110;12;;null;-74815838;10947916;null;null;null;null;null;null;null;null;null;false;;
;37;Seguridad_2025_Estación Caribe Verde;Avenida Caribe Verde 120 #11 d 02;12;;null;-74844167;10957133;null;null;null;null;null;null;null;null;null;false;;
