id_proyecto,id_barrio
1,125
1,108
1,148
1,175
1,118
1,161
1,159
1,95
1,196
1,185
1,202
1,37
1,2
1,112
1,138
1,197
1,64
2,122
2,173
2,112
2,167
2,171
2,161
2,201
2,194
3,151
3,124
4,197
5,9
5,12
5,33
5,204
5,62
5,182
5,130
5,1
5,70
5,45
5,54
5,27
5,71
5,98
5,131
5,21
5,190
5,181
5,128
5,178
5,153
5,148
5,129
5,121
5,193
5,191
5,135
6,182
6,175
6,130
6,170
6,101
7,173
7,109
7,121
7,118
7,158
7,100
7,129
8,144
8,153
8,97
8,120
8,123
9,4
9,119
9,85
10,136
10,137
10,138
10,75
10,87
11,177
11,168
11,76
11,82
11,84
11,57
11,166
12,37
12,139
12,140
12,112
12,126
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,170
28,
29,
30,30
31,204
32,193
33,125
34,194
35,2
36,173
37,96
38,32
39,
39,
40,181
41,177
42,67
43,87
44,
45,
46,
47,
48,1
49,37
50,37
51,45
52,45
53,45
54,45
55,204
56,18
57,204
58,4
59,205
60,205
61,205
62,52
63,204
64,4
65,204
66,204
67,204
68,182
69,83
69,71
69,30
69,91
69,70
69,206
70,
71,170
72,98
73,153
74,168
75,204
76,153
77,147
78,204
79,123
80,204
81,157
82,75
83,170
84,87
85,97
86,193
87,54
88,153
89,8
90,152
91,178
92,148
93,204
94,85
95,
96,
97,124
97,130
97,140
97,120
97,63
97,93
97,68
97,190
97,78
98,173
98,118
98,130
98,200
98,186
98,30
99,101
99,151
99,125
99,133
99,139
100,197
100,176
100,182
100,4
100,27
100,37
100,45
100,197
100,37
101,166
101,168
101,170
101,170
101,175
101,187
101,170
102,199
102,191
102,193
102,194
102,192
102,161
102,201
103,69
103,70
103,75
103,80
103,83
103,84
103,71
103,127
103,85
104,180
104,94
104,167
104,171
104,112
104,174
104,106
104,122
104,126
104,142
104,159
104,177
104,136
104,137
104,138
106,108
107,108
108,108
109,141
110,191
111,182
112,114
113,148
114,148
115,37
116,71
117,130
118,173
119,166
120,28
121,112
122,156
123,197
124,70
125,165
126,170
127,97
128,83
129,72
130,169
131,72
132,110
133,120
134,66
135,30
136,null
137,null
138,88
138,79
138,87
138,204
138,80
138,85
138,83
138,75
138,64
138,67
139,125
139,139
139,140
139,126
139,110
139,129
140,169
140,108
140,164
140,178
140,186
140,175
140,180
140,174
140,167
140,191
140,182
140,192
141,190
141,208
141,64
141,73
141,94
141,108
141,177
141,181
142,8
142,13
142,23
143,143
143,141
143,113
143,8
143,1
143,114
144,115
145,170
146,202
147,67
148,68
149,170
150,60
151,36
152,163
153,83
154,72
155,101
156,163
157,73
158,182
159,162
160,192
161,157
162,173
163,157
164,120
165,126
166,96
167,106
168,79
169,75
170,115
171,194
172,110
173,170
174,180
175,73
176,71
177,197
178,153
179,197
180,79
181,null
182,75
183,66
184,87
185,74
186,110
187,120
188,87
189,87
190,184
191,170
192,187
193,178
194,71
195,170
196,116
197,193
198,182
199,76
200,79
201,170
202,37
203,170
204,169
205,106
206,170
207,95
208,163
209,192
210,120
211,45
212,37
213,193
214,192
215,47
216,4
217,101
218,197
219,1
220,9
221,54
222,141
223,114
224,106
225,88
226,153
227,119
228,57
229,110
230,66
231,106
232,125
233,184
234,133
235,170
236,null
237,15
238,null
239,null
240,37
240,45
241,71
241,70
241,83
242,37
242,45
243,37
243,45
244,209
245,114
246,114
247,114
248,114
320,114
249,199
250,206
251,76
252,191
253,170
254,83
255,190
256,66
257,156
258,144
259,106
260,130
261,142
262,174
263,80
264,193
265,87
266,87
267,194
268,75
269,165
270,194
271,52
272,110
273,125
274,204
275,8
276,75
277,148
278,44
279,21
280,139
281,87
282,52
283,193
284,101
285,175
286,128
287,153
288,140
289,184
290,120
291,54
292,60
293,135
294,44
295,145
296,145
297,75
298,81
299,69
300,71
301,76
302,190
303,192
304,24
305,168
306,170
307,204
308,106
309,37
310,173
311,143
312,4
313,151
314,72
315,83
316,23
317,23
318,37
319,184
248,114
320,114
321,114
322,210
323,114
324,210
