;id_asociacion;nombre_asociacion;nit;id_tipo_asociacion;id_representante_legal
;1;CONSORCIO VIAL DISTRITAL;null;1;1
;4;CONSORCIO BARRIOS A LA OBRA 2021;null;1;4
;8;CONSORCIO VIAS URBANAS BARRANQUILLA 2021;null;1;8
;9;CONSORCIO MODULO IX;null;1;9
;11;CONSORCIO ATLANTA;null;1;10
;12;CONSORCIO AZUL;null;1;11
;13;CONSORCIO VIAS BAREM;null;1;12
;14;CONSORCIO SAN CHARBEL EDU;null;1;13
;15;CONSORCIO VIAS URBANAS 2024;null;1;14
;16;CONSORCIO G3 PAVIMENTAR BARRANQUILLA 24;null;1;15
;17;CONSORCIO EDUBAR 2024;null;1;16
;18;CONSORCIO VIAS QUILLA;null;1;17
;19;CONSORCIO COMPETITIVIDAD BARRANQUILLA;null;1;18
;20;CONSORCIO DP 2024;null;1;6
;21;CONSORCIO DESARROLLO VIAL BARRANQUILLA;null;1;52
;22;CONSORCIO VIAS URBANAS BQ;null;1;19
;23;UT VIAL URBANO BARRANQUILLA;null;2;20
;24;UT PAVIMENTOS 2025;null;2;21
;25;CONSORCIO VIAS BARRANQUILLA 2025;null;1;22
;26;UT VIAL URBANO BARRANQUILLA;null;2;20
;27;CONSORCIO CEDINPRO;null;1;23
;28;CONSORCIO SAN FELIPE;null;1;22
;29;CONSORCIO BARRANQUILLA CAN 2017;null;1;24
;31;CONSORCIO MUSEO DE ARTE 010;null;1;24
;32;CONSORCIO JCO MALLORQUÍN;null;1;26
;34;CONSORCIO TREN MALLORQUÍN;null;1;28
;35;UNION TEMPORAL PUERTO MAR;null;2;29
;36;CONSORCIO MERCADOS BARRANQUILLA 2022;null;1;30
;37;CONSORCIO GRAN BAZAR 2021;null;1;31
;38;UNION TEMPORAL CONTRUCCION URBANA;null;2;32
;39;CONSORCIO DRAGADOS DE COLOMBIA;null;1;8
;40;CONSORCIO SENDEROS 2021;null;1;6
;41;CONSORCIO EDUCATIVO DISTRITAL;null;1;23
;43;CONSORCIO ICONHO;null;1;33
;44;CONSORCIO PARQUES CUBAGO;null;1;34
;45;CONSORCIO VIVIENDAS URBANAS;null;1;35
;46;CONSORCIO VIVIENDAS DISTRITALES II;null;1;23
;47;UNION TEMPORAL VIVIENDAS DISTRITALES;null;2;1
;48;UT VIVIENDAS 2024;null;2;21
;49;CONSORCIO MEJORAMIENTO DE VIVIENDA;null;1;2
;50;UNION TEMPORAL VIVIENDAS 2024;null;2;36
;51;CONSORCIO C&V BARRANQUILLA;null;1;37
;52;CONSORCIO ETAPA III;null;1;38
;54;CONSORCIO MANTENIMIENTOS;null;1;40
;55;CONSORCIO SOSTEC;null;1;41
;57;CONSORCIO ARROYO 85;null;1;52
;58;CONSORCIO OCCIDENTAL DE COLOMBIA S.A.S;null;1;52
;59;UNION TEMPORAL AVENIDA BOYACA ;null;2;42
;60;CONSORCIO AVENIDA CIRCUNVALAR 2018;null;1;2
;61;UNION TEMPORAL GRAN VIA R90;null;2;42
;62;UNION TEMPORAL ARROYOS 2016 ;null;2;43
;63;CONSORCIO MEC ARROYO DE LA CARRERA 65;null;1;44
;64;UNION TEMPORAL ARROYOS BARRANQUILLA ;null;2;45
;65;UNIÓN TEMPORAL PARQUES VI;null;2;46
;67;UNIÓN TEMPORAL PARQUES VJR;null;2;52
;68;CONSORCIO URBACARIBE 24;null;1;47
;69;CONSORCIO PARQUES DP 2024;null;1;6
;70;UNION TEMPORAL PARQUES REDEXCO 24;null;2;48
;74;CONSORCIO FASE 7 BARRANQUILLA;null;1;50
;75;CONSORCIO MEJORAMIENTO DEPORTIVO;null;1;51
;76;CONSORCIO EP BAQ;null;1;2
;77;CONSORCIO BARRANQUILLA PG;null;1;52
;78;CONSORCIO BARRANQUILLA PG;null;1;52
;79;CONSORCIO ESCENARIOS EP;null;1;52
;80;CONSORCIO ESCENARIOS EP;null;1;52
;91;CONSORCIO FASE 3;null;1;54
;96;CONSORCIO INSTITUCIONES 204;null;1;57
;97;CONSORCIO INTERDEPORTIVO UBAQ;null;1;103
;98;CONSORCIO BARRANQUILLA 2019;null;1;67
;99;CONSORCIO VIAL BARRANQUILLA;null;1;86
;100;CONSORCIO CIRCUNVALAR IDC;null;1;85
;101;CONSORCIO DS;null;1;61
;102;CONSORCIO DS;null;1;null
;103;CONSORCIO MEDIA LUNA;null;1;68
;104;CONSORCIO INTERBAZAR;null;1;75
;105;CONSORCIO MP BARRANQUILLA;null;1;74
;106;CONSORCIO INTER TRANSFORMANDO BQ;null;1;76
;107;CONSORCIO INTERCAÑO LA AHUYAMA;null;1;77
;108;CONSORCIO ECOPARQUES;null;1;71
;109;CONSORCIO HOSPITALES 2016;null;1;81
;110;CONSORCIO CAYNEXIA;null;1;73
;111;CONSORCIO INTERVIAS BARRANQUILLA;null;1;59
;112;CONSORCIO RUT 2021;null;1;60
;113;CONSORCIO UF1 MALLORQUÍN;null;1;70
;114;CONSORCIO MALLORQUÍN;null;1;72
;115;CONSORCIO CANALES BARRANQUILLA;null;1;88
;116;CONSORCIO VIAL BARRANQUILLA;null;1;89
;117;CONSORCIO INTERHUERTAS;null;1;96
;118;CONSORCIO INTERUNIVERSIDAD DE BARRANQUILLA;null;1;102
;119;CONSORCIO IE DISTRITO;null;1;79
;120;CONSORCIO PROSPERAR HABITABILIDAD;null;1;82
;121;CONSORCIO INTERVIVIENDAS BQ;null;1;83
