id_contratista;id_asosicion;id_persona;created_at;updated_at
1;1;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
2;null;4;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
3;null;5;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
4;2;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
5;null;9;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
6;null;10;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
7;null;11;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
8;8;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
9;9;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
10;null;15;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
11;11;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
12;12;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
13;13;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
14;14;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
15;15;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
16;16;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
17;17;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
18;18;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
19;19;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
20;20;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
21;21;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
22;22;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
23;23;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
24;24;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
25;25;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
26;26;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
27;27;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
28;28;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
29;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
30;29;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
31;null;141;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
