id_linea_estrategica,id_sector,created_at,updated_at
1,1,2025-10-14T00:00:00Z,2025-10-14T00:00:00Z
3,2,2025-10-14T00:00:00Z,2025-10-14T00:00:00Z
1,3,2025-10-14T00:00:00Z,2025-10-14T00:00:00Z
2,4,2025-10-14T00:00:00Z,2025-10-14T00:00:00Z
1,4,2025-10-14T00:00:00Z,2025-10-14T00:00:00Z
1,5,2025-10-14T00:00:00Z,2025-10-14T00:00:00Z
3,5,2025-10-14T00:00:00Z,2025-10-14T00:00:00Z
2,6,2025-10-14T00:00:00Z,2025-10-14T00:00:00Z
2,7,2025-10-14T00:00:00Z,2025-10-14T00:00:00Z
2,8,2025-10-14T00:00:00Z,2025-10-14T00:00:00Z
1,8,2025-10-14T00:00:00Z,2025-10-14T00:00:00Z
2,9,2025-10-14T00:00:00Z,2025-10-14T00:00:00Z
2,10,2025-10-14T00:00:00Z,2025-10-14T00:00:00Z
1,11,2025-10-14T00:00:00Z,2025-10-14T00:00:00Z
2,12,2025-10-14T00:00:00Z,2025-10-14T00:00:00Z
